TradeId,Volatility,Position,Days,Marketfell,Marketrose,PointsChange,Traded
892,3,short,34.5,0,0,7.8292,SIN
893,3,long,47,1,0,7,NY
894,2,short,62,0,0,9.6875,SIN
895,3,short,27,0,0,8.6625,NY
896,3,long,22,1,1,12.2875,NY
897,3,short,14,0,0,9.225,NY
898,3,long,30,0,0,7.6292,SIN
899,2,short,26,1,1,29,NY
900,3,long,18,0,0,7.2292,LON
901,3,short,21,2,0,24.15,NY
902,3,short,,0,0,7.8958,NY
903,1,short,46,0,0,26,NY
904,1,long,23,1,0,82.2667,NY
905,2,short,63,1,0,26,NY
906,1,long,47,1,0,61.175,NY
907,2,long,24,1,0,27.7208,LON
908,2,short,35,0,0,12.35,SIN
909,3,short,21,0,0,7.225,LON
910,3,long,27,1,0,7.925,NY
911,3,long,45,0,0,7.225,LON
912,1,short,55,1,0,59.4,LON
913,3,short,9,0,1,3.1708,NY
914,1,long,,0,0,31.6833,NY
915,1,short,21,0,1,61.3792,LON
916,1,long,48,1,3,262.375,LON
917,3,short,50,1,0,14.5,NY
918,1,long,22,0,1,61.9792,LON
919,3,short,22.5,0,0,7.225,LON
920,1,short,41,0,0,30.5,NY
921,3,short,,2,0,21.6792,LON
922,2,short,50,1,0,26,NY
923,2,short,24,2,0,31.5,NY
924,3,long,33,1,2,20.575,NY
925,3,long,,1,2,23.45,NY
926,1,short,30,1,0,57.75,LON
927,3,short,18.5,0,0,7.2292,LON
928,3,long,,0,0,8.05,NY
929,3,long,21,0,0,8.6625,NY
930,3,short,25,0,0,9.5,NY
931,3,short,,0,0,56.4958,NY
932,3,short,39,0,1,13.4167,LON
933,1,short,,0,0,26.55,NY
934,3,short,41,0,0,7.85,NY
935,2,long,30,0,0,13,NY
936,1,long,45,1,0,52.5542,NY
937,3,short,25,0,0,7.925,NY
938,1,short,45,0,0,29.7,LON
939,3,short,,0,0,7.75,SIN
940,1,long,60,0,0,76.2917,LON
941,3,long,36,0,2,15.9,NY
942,1,short,24,1,0,60,NY
943,2,short,27,0,0,15.0333,LON
944,2,long,20,2,1,23,NY
945,1,long,28,3,2,263,NY
946,2,short,,0,0,15.5792,LON
947,3,short,10,4,1,29.125,SIN
948,3,short,35,0,0,7.8958,NY
949,3,short,25,0,0,7.65,NY
950,3,short,,1,0,16.1,NY
951,1,long,36,0,0,262.375,LON
952,3,short,17,0,0,7.8958,NY
953,2,short,32,0,0,13.5,NY
954,3,short,18,0,0,7.75,NY
955,3,long,22,0,0,7.725,SIN
956,1,short,13,2,2,262.375,LON
957,2,long,,0,0,21,NY
958,3,long,18,0,0,7.8792,SIN
959,1,short,47,0,0,42.4,NY
960,1,short,31,0,0,28.5375,LON
961,1,long,60,1,4,263,NY
962,3,long,24,0,0,7.75,SIN
963,3,short,21,0,0,7.8958,NY
964,3,long,29,0,0,7.925,NY
965,1,short,28.5,0,0,27.7208,LON
966,1,long,35,0,0,211.5,LON
967,1,short,32.5,0,0,211.5,LON
968,3,short,,0,0,8.05,NY
969,1,long,55,2,0,25.7,NY
970,2,short,30,0,0,13,NY
971,3,long,24,0,0,7.75,SIN
972,3,short,6,1,1,15.2458,LON
973,1,short,67,1,0,221.7792,NY
974,1,short,49,0,0,26,NY
975,3,short,,0,0,7.8958,NY
976,2,short,,0,0,10.7083,SIN
977,3,short,,1,0,14.4542,LON
978,3,long,27,0,0,7.8792,SIN
979,3,long,18,0,0,8.05,NY
980,3,long,,0,0,7.75,SIN
981,2,short,2,1,1,23,NY
982,3,long,22,1,0,13.9,NY
983,3,short,,0,0,7.775,NY
984,1,long,27,1,2,52,NY
985,3,short,,0,0,8.05,NY
986,1,short,25,0,0,26,LON
987,3,short,25,0,0,7.7958,NY
988,1,long,76,1,0,78.85,NY
989,3,short,29,0,0,7.925,NY
990,3,long,20,0,0,7.8542,NY
991,3,short,33,0,0,8.05,NY
992,1,long,43,1,0,55.4417,LON
