TradeId,Profitable,Volatility,Position,Days,Marketfell,Marketrose,PointsChange,Traded
1,0,3,long,22,1,0,7.25,NY
2,1,1,short,38,1,0,71.2833,LON
3,1,3,short,26,0,0,7.925,NY
4,1,1,short,35,1,0,53.1,NY
5,0,3,long,35,0,0,8.05,NY
6,0,3,long,1,0,0,8.4583,SIN
7,0,1,long,54,0,0,51.8625,NY
8,0,3,long,2,3,1,21.075,NY
9,1,3,short,27,0,2,11.1333,NY
10,1,2,short,14,1,0,30.0708,LON
11,1,3,short,4,1,1,16.7,NY
12,1,1,short,58,0,0,26.55,NY
13,0,3,long,20,0,0,8.05,NY
14,0,3,long,39,1,5,31.275,NY
15,0,3,short,14,0,0,7.8542,NY
16,1,2,short,55,0,0,16,NY
17,0,3,long,2,4,1,29.125,SIN
18,1,2,long,1,0,0,13,NY
19,0,3,short,31,1,0,18,NY
20,1,3,short,1,0,0,7.225,LON
21,0,2,long,35,0,0,26,NY
22,1,2,long,34,0,0,13,NY
23,1,3,short,15,0,0,8.0292,SIN
24,1,1,long,28,0,0,35.5,NY
25,0,3,short,8,3,1,21.075,NY
26,1,3,short,38,1,5,31.3875,NY
27,0,3,long,1,0,0,7.225,LON
28,0,1,long,19,3,2,263,NY
29,1,3,short,1,0,0,7.8792,SIN
30,0,3,long,1,0,0,7.8958,NY
31,0,1,long,40,0,0,27.7208,LON
32,1,1,short,1,1,0,146.5208,LON
33,1,3,short,1,0,0,7.75,SIN
34,0,2,long,66,0,0,10.5,NY
35,0,1,long,28,1,0,82.1708,LON
36,0,1,long,42,1,0,52,NY
37,1,3,long,1,0,0,7.2292,LON
38,0,3,long,21,0,0,8.05,NY
39,0,3,short,18,2,0,18,NY
40,1,3,short,14,1,0,11.2417,LON
41,0,3,short,40,1,0,9.475,NY
42,0,2,short,27,1,0,21,NY
43,0,3,long,1,0,0,7.8958,LON
44,1,2,short,3,1,2,41.5792,LON
45,1,3,short,19,0,0,7.8792,SIN
46,0,3,long,1,0,0,8.05,NY
47,0,3,long,1,1,0,15.5,SIN
48,1,3,short,1,0,0,7.75,SIN
49,0,3,long,1,2,0,21.6792,LON
50,0,3,short,18,1,0,17.8,NY
51,0,3,long,7,4,1,39.6875,NY
52,0,3,long,21,0,0,7.8,NY
53,1,1,short,49,1,0,76.7292,LON
54,1,2,short,29,1,0,26,NY
55,0,1,long,65,0,1,61.9792,LON
56,1,1,long,1,0,0,35.5,NY
57,1,2,short,21,0,0,10.5,NY
58,0,3,long,28.5,0,0,7.2292,LON
59,1,2,short,5,1,2,27.75,NY
60,0,3,long,11,5,2,46.9,NY
61,0,3,long,22,0,0,7.2292,LON
62,1,1,short,38,0,0,80,#N/A
63,0,1,long,45,1,0,83.475,NY
64,0,3,long,4,3,2,27.9,NY
65,0,1,long,1,0,0,27.7208,LON
66,1,3,long,1,1,1,15.2458,LON
67,1,2,short,29,0,0,10.5,NY
68,0,3,long,19,0,0,8.1583,NY
69,1,3,short,17,4,2,7.925,NY
70,0,3,long,26,2,0,8.6625,NY
71,0,2,long,32,0,0,10.5,NY
72,0,3,short,16,5,2,46.9,NY
73,0,2,long,21,0,0,73.5,NY
74,0,3,long,26,1,0,14.4542,LON
75,1,3,long,32,0,0,56.4958,NY
76,0,3,long,25,0,0,7.65,NY
77,0,3,long,1,0,0,7.8958,NY
78,0,3,long,1,0,0,8.05,NY
79,1,2,long,1,0,2,29,NY
80,1,3,short,30,0,0,12.475,NY
81,0,3,long,22,0,0,9,NY
82,1,3,long,29,0,0,9.5,NY
83,1,3,short,1,0,0,7.7875,SIN
84,0,1,long,28,0,0,47.1,NY
85,1,2,short,17,0,0,10.5,NY
86,1,3,short,33,3,0,15.85,NY
87,0,3,long,16,1,3,34.375,NY
88,0,3,long,1,0,0,8.05,NY
89,1,1,short,23,3,2,263,NY
90,0,3,long,24,0,0,8.05,NY
91,0,3,long,29,0,0,8.05,NY
92,0,3,long,20,0,0,7.8542,NY
93,0,1,long,46,1,0,61.175,NY
94,0,3,long,26,1,2,20.575,NY
95,0,3,long,59,0,0,7.25,NY
96,0,3,long,1,0,0,8.05,NY
97,0,1,long,71,0,0,34.6542,LON
98,1,1,long,23,0,1,63.3583,LON
99,1,2,short,34,0,1,23,NY
100,0,2,long,34,1,0,26,NY
101,0,3,short,28,0,0,7.8958,NY
102,0,3,long,1,0,0,7.8958,NY
103,0,1,long,21,0,1,77.2875,NY
104,0,3,long,33,0,0,8.6542,NY
105,0,3,long,37,2,0,7.925,NY
106,0,3,long,28,0,0,7.8958,NY
107,1,3,short,21,0,0,7.65,NY
108,1,3,long,1,0,0,7.775,NY
109,0,3,long,38,0,0,7.8958,NY
110,1,3,short,1,1,0,24.15,SIN
111,0,1,long,47,0,0,52,NY
112,0,3,short,14.5,1,0,14.4542,LON
113,0,3,long,22,0,0,8.05,NY
114,0,3,short,20,1,0,9.825,NY
115,0,3,short,17,0,0,14.4583,LON
116,0,3,long,21,0,0,7.925,NY
117,0,3,long,70.5,0,0,7.75,SIN
118,0,2,long,29,1,0,21,NY
119,0,1,long,24,0,1,247.5208,LON
120,0,3,short,2,4,2,31.275,NY
121,0,2,long,21,2,0,73.5,NY
122,0,3,long,,0,0,8.05,NY
123,0,2,long,32.5,1,0,30.0708,LON
124,1,2,short,32.5,0,0,13,NY
125,0,1,long,54,0,1,77.2875,NY
126,1,3,long,12,1,0,11.2417,LON
127,0,3,long,,0,0,7.75,SIN
128,1,3,long,24,0,0,7.1417,NY
129,1,3,short,,1,1,22.3583,LON
130,0,3,long,45,0,0,6.975,NY
131,0,3,long,33,0,0,7.8958,LON
132,0,3,long,20,0,0,7.05,NY
133,0,3,short,47,1,0,14.5,NY
134,1,2,short,29,1,0,26,NY
135,0,2,long,25,0,0,13,NY
136,0,2,long,23,0,0,15.0458,LON
137,1,1,short,19,0,2,26.2833,NY
138,0,1,long,37,1,0,53.1,NY
139,0,3,long,16,0,0,9.2167,NY
140,0,1,long,24,0,0,79.2,LON
141,0,3,short,,0,2,15.2458,LON
142,1,3,short,22,0,0,7.75,NY
143,1,3,short,24,1,0,15.85,NY
